NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.5075549,0.3085001,8.307555,15,3,3,27,27,27,1,2,13,27,7,25,0.1029982,1
0,1,2,2,0,1.007554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,13,27,7,25,0.2014308,1
0,1,2,2,0,1.507554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,13,27,7,25,0.3011852,1
0,1,2,2,0,2.007554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,13,27,7,25,0.4028242,1
0,1,2,2,0,2.507553,0.3085001,0.3085001,15,3,3,27,27,27,1,2,13,27,7,25,0.502936,1
0,1,2,2,0,3.007552,0.3085001,0.3085001,15,3,3,27,27,27,1,2,13,27,7,25,0.6010429,1
0,1,2,2,0,3.507552,0.3085001,0.3085001,15,3,3,27,27,27,1,2,13,27,7,25,0.7019725,1
0,1,2,2,0,4.007552,8.3085,0.3085001,15,3,3,27,27,27,1,2,13,27,7,25,0.8006675,1
0,1,2,2,0,4.507551,8.3085,0.3085001,15,3,3,27,27,27,1,2,13,27,7,25,0.9032474,1
1,1,2,1,19.60756,5.00755,0.3085001,0.3075551,15,3,3,27,27,27,1,2,13,27,7,25,1.003518,1
1,1,2,1,19.10756,5.507551,0.3085001,0.3075551,15,3,3,27,27,27,1,2,13,27,7,25,1.101647,1
1,1,2,1,18.60756,6.007553,0.3085001,0.3075551,15,3,3,27,27,27,1,2,13,27,7,25,1.202667,1
1,1,2,1,18.10756,6.507555,0.3085001,0.3075551,15,3,3,27,27,27,1,2,13,27,7,25,1.303771,1
1,1,2,1,17.60755,7.007556,0.3085001,0.3075551,15,3,3,27,27,27,1,2,13,27,7,25,1.402196,1
1,1,2,1,17.10755,7.507559,0.3085001,0.3075551,15,3,3,27,27,27,1,2,13,27,7,25,1.503441,1
1,1,2,2,16.60755,8.007561,0.3085001,0.3085001,15,3,3,27,27,27,1,2,13,27,7,25,1.60471,1
1,1,2,2,16.10755,8.507563,0.3085001,0.3085001,15,3,3,27,27,27,1,2,13,27,7,25,1.702081,1
1,1,2,2,15.60755,9.007565,0.3085001,0.3085001,15,3,3,27,27,27,1,2,13,27,7,25,1.801254,1
1,1,2,2,15.10754,9.507566,0.3085001,0.3085001,15,3,3,27,27,27,1,2,13,27,7,25,1.903958,1
1,1,2,1,14.60754,10.00757,0.3085001,8.307554,15,3,3,27,27,27,1,2,13,27,7,25,2.003308,1
1,1,2,1,14.10754,10.50757,0.3085001,8.307554,15,3,3.5,27,27.3,27,1,2,13,27,7,25,2.100964,1
1,1,2,2,13.60754,11.00757,0.3085001,0.3085001,15,3,3.999999,27,27.3,27,1,2,13,27,7,25,2.203465,1
1,1,2,2,13.10754,11.50757,0.3085001,0.3085001,15,3,4.499999,27,27.3,27,1,2,13,27,7,25,2.303297,1
1,1,2,2,12.60754,12.00758,0.3085001,0.3085001,15,3,4.999998,27,27.3,27,1,2,13,27,7,25,2.401282,1
1,1,2,2,12.10753,12.50758,0.3085001,0.3085001,15,3,5.499998,27,27.3,27,1,2,13,27,7,25,2.503448,1
1,1,2,2,11.60753,13.00758,0.3085001,0.3085001,15,3,5.999997,27,27.3,27,1,2,13,27,7,25,2.602948,1
1,1,2,2,11.10753,13.50758,0.3085001,0.3085001,15,3,6.499997,27,27.3,27,1,2,13,27,7,25,2.701175,1
1,1,1,1,10.60753,14.00758,2.307555,8.307555,15,3,6.999996,27,27.3,27,1,2,13,27,7,25,2.803664,1
1,1,1,1,10.10752,14.50758,2.307555,8.307555,15,3,7.499996,27,27.3,27,0,2,13,27,7,25,2.90223,1
0,1,2,2,0,15.00759,0.3085001,0.3085001,15,3,7.999995,27,27.3,27,0,2,13,27,7,25,3.003323,1
0,1,2,2,0,15.50759,0.3085001,0.3085001,15,3,8.499997,27,27.3,27,0,2,13,27,7,25,3.103822,1
0,1,2,2,0,16.00759,0.3085001,0.3085001,15,3,8.999999,27,27.3,27,0,2,13,27,7,25,3.200526,1
0,1,2,2,0,16.50759,0.3085001,0.3085001,15,3,9.500001,27,27.3,27,0,2,13,27,7,25,3.301494,1
0,1,2,2,0,17.0076,0.3085001,0.3085001,15,3,10,27,27.3,27,0,2,13,27,7,25,3.401332,1
0,1,2,2,0,17.5076,0.3085001,0.3085001,15,3,10.5,27,27.3,27,0,2,13,27,7,25,3.502591,1
0,1,2,2,0,18.0076,0.3085001,0.3085001,15,3,11.00001,27,27.3,27,0,2,13,27,7,25,3.600398,1
6,1,2,2,4.457705,18.5076,0.3085001,0.3085001,15,3,11.50001,27,27.3,27,1,2,13,27,7,25,3.700136,1
6,1,2,2,3.957703,19.0076,0.3085001,0.3085001,15,3,12.00001,27,27.3,27,0,2,100,100,7,25,3.805381,1
0,1,2,2,0,19.5076,0.3085001,0.3085001,15,3,12.50001,27,27.3,27,0,2,100,100,7,25,3.903973,1
0,0,2,2,0,0,0.3085001,0.3085001,15,3,13.00001,27,27.3,27,0,2,100,100,7,25,4.003471,1
0,0,2,2,0,0,0.3085001,0.3085001,15,3,13.50002,27,27.3,27.3,0,2,100,100,7,25,4.104079,1
0,0,2,2,0,0,0.3085001,0.3085001,15,3,14.00002,27,27.3,27.3,0,2,100,100,7,25,4.202958,1
1,0,2,2,3.107499,0,0.3085001,0.3085001,15,3,14.50002,27,27.3,27.3,1,2,100,100,7,25,4.300083,1
1,0,2,2,2.607497,0,0.3085001,0.3085001,15,3,15.00002,27,27.3,27.3,1,2,100,100,7,25,4.40023,1
1,0,2,2,2.107495,0,0.3085001,0.3085001,15,3,15.50002,27,27.3,27.3,1,2,100,100,7,25,4.503822,1
1,0,2,2,1.607493,0,0.3085001,0.3085001,15,3,16.00002,27,27.3,27.3,1,2,100,100,7,25,4.601265,1
1,0,2,2,1.107491,0,0.3085001,0.3085001,15,3,16.50003,27,27.3,27.3,1,2,100,100,7,25,4.703533,1
1,0,6,1,0.6074894,0,4.657778,8.307555,15,3,17.00003,27,27.3,27.3,1,2,100,100,7,25,4.802235,1
1,0,6,1,0.3074883,0,5.15778,8.307555,15,3,17.50003,27,27.3,27.3,1,2,100,100,7,25,4.901794,3
1,2,6,1,0.3074883,0.3085668,5.257781,8.707557,15,3,18.00003,27,27.3,27.3,1,2,100,100,7,25,5.000046,3
1,2,6,1,0.3074883,0.3085668,5.257781,9.207559,15,3,18.50003,27,27.3,27.3,0,2,100,100,7,25,5.106002,3
1,2,0,1,0.3074883,0.3085668,0,9.307559,15,3,19.00004,27,27.3,27.3,0,2,100,100,7,25,5.203201,0
1,2,0,1,0.3074883,0.3085668,0,9.307559,15,3,19.50004,27,27.3,27.3,0,2,100,100,7,25,5.302964,0
1,2,0,1,0.3074883,0.3085668,0,9.307559,15,3,20.00004,27,27.3,27.3,0,2,100,100,7,25,5.401276,0
1,2,0,1,0.3074883,0.3085668,0,9.307559,15,3,20.50004,27,27.3,27.3,0,2,100,100,7,25,5.50451,0
1,2,0,1,0.3074883,0.3085668,0,9.307559,15,3,21.00004,27,27.3,27.3,0,2,100,100,7,25,5.603802,0
