NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.5075549,0.3085001,8.307555,15,3,3,27,27,27,1,2,7,3,3,25,0.1006411,1
0,1,2,2,0,1.007554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,7,3,3,25,0.2016633,1
0,1,2,2,0,1.507554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,7,3,3,25,0.3009796,1
0,1,2,2,0,2.007554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,7,3,3,25,0.4010792,1
0,1,2,2,0,2.507553,0.3085001,0.3085001,15,3,3,27,27,27,1,2,7,3,3,25,0.5003769,1
0,1,2,2,0,3.007552,0.3085001,0.3085001,15,3,3,27,27,27,1,2,7,3,3,25,0.6005832,1
0,1,2,2,0,3.507552,0.3085001,0.3085001,15,3,3,27,27,27,1,2,7,3,3,25,0.7011971,1
0,1,2,2,0,3.607552,0.008498904,0.6085013,15,3,3,27,27,27,1,2,7,3,3,25,0.8012455,3
0,1,2,2,0,3.607552,0.008498904,0.6085013,15,3,3,27,27,27,1,2,7,3,3,25,0.9007655,3
0,1,2,2,0,3.607552,0.008498904,0.6085013,15,3,3,27,27,27,1,2,7,3,3,25,1.001274,3
0,1,2,2,0,3.907552,0.008498904,0.6085013,15,3,3,27,27,27,1,2,7,3,3,25,1.100685,1
0,1,2,2,0,4.107551,8.008499,0.6085013,15,3,3,27,27,27,1,2,7,3,3,25,1.201312,3
2,2,2,2,0.5085037,0.1084964,7.508497,1.108503,15,3,3,27,27,27,1,2,7,3,3,25,1.300479,3
2,2,2,2,0.5085037,0.1084964,7.008495,1.608505,15,3,3,27,27,27,1,2,7,3,3,25,1.400348,3
2,2,2,2,0.5085037,0.1084964,6.508493,2.108507,15,3,3,27,27,27,1,2,7,3,3,25,1.500534,3
2,2,2,2,0.5085037,0.1084964,6.008491,2.608509,15,3,3,27,27,27,1,2,7,3,3,25,1.600902,3
2,2,2,2,0.5085037,0.1084964,5.508489,3.108511,15,3,3,27,27,27,1,2,7,3,3,25,1.700911,3
2,2,2,2,0.5085037,0.1084964,5.008487,3.608512,15,3,3,27,27,27,1,2,7,3,3,25,1.802882,3
2,2,2,2,4.508503,0.1084964,4.508485,4.108514,15,3,3,27,27,27,1,2,7,3,3,25,1.900652,3
2,2,2,2,4.508503,0.1084964,4.008483,4.608516,15,3,3,27,27,27,1,2,7,3,3,25,2.000315,3
2,2,2,2,0.5085037,0.1084964,3.508482,5.108518,15,3,3,26.5,27,26.5,1,2,7,3,3,25,2.10032,3
2,2,2,2,0.5085037,0.1084964,3.00848,5.60852,15,3,3,26,27,26,1,2,7,3,3,25,2.200513,3
2,2,2,2,0.5085037,0.1084964,2.508478,6.108522,15,3,3,25.49999,27,25.49999,1,2,7,3,3,25,2.302487,3
2,2,2,2,0.5085037,0.1084964,2.008476,6.608524,15,3,3,24.99999,27,24.99999,1,2,7,3,3,25,2.401485,3
2,2,2,2,0.5085037,0.1084964,1.508474,7.108526,15,3,3,24.49999,27,24.49999,1,2,7,3,3,25,2.50073,3
2,2,2,2,0.5085037,0.1084964,1.108473,7.508528,15,3,3,23.99999,27,23.99999,1,2,7,3,3,25,2.60126,3
2,2,2,2,0.5085037,0.1084964,1.108473,7.508528,15,3,3,23.49999,27,23.49999,1,2,7,3,3,25,2.701632,3
2,2,2,2,0.5085037,0.1084964,1.108473,7.508528,15,3,3,22.99998,27,22.99998,1,2,7,3,3,25,2.801279,3
2,2,2,2,0.00850415,0.608496,1.108473,7.508528,15,3,3,22.49998,27,22.49998,1,2,7,3,3,25,2.901369,1
2,2,2,2,0.00850415,0.608496,1.008472,7.608528,15,3,3,22.09998,27,22.09998,1,2,7,3,3,25,3.000087,3
0,1,2,2,0,4.60755,0.5084704,8.10853,15,3,3,21.49998,27,21.49998,1,2,7,3,3,25,3.100808,3
1,1,1,2,19.50756,5.10755,0.5075253,0.1085298,15,3,3,20.99998,27,20.99998,1,2,7,3,3,25,3.20138,1
1,1,1,2,19.00756,5.607551,0.5075253,0.1085298,15,3,3,20.49998,27,20.49998,1,2,7,3,3,25,3.302047,1
1,1,1,2,18.50756,6.107553,0.5075253,0.1085298,15,3,3,19.99997,27,19.99997,1,2,7,3,3,25,3.401936,1
1,1,1,2,18.00756,6.607555,0.5075253,0.1085298,15,3,3,19.49997,27,19.49997,1,2,7,3,3,25,3.501652,1
1,1,1,2,17.50755,7.107557,0.5075253,0.1085298,15,3,3,18.99997,27,18.99997,1,2,7,3,3,25,3.601179,1
1,1,1,2,17.00755,7.607559,0.5075253,0.1085298,15,3,3,18.49997,27,18.49997,1,2,7,3,3,25,3.700971,1
1,1,2,2,16.50755,8.107561,0.5084704,0.1085298,15,3,3,17.99997,27,17.99997,1,2,7,3,3,25,3.800852,1
1,1,2,2,16.00755,8.607563,0.5084704,0.1085298,15,3,3,17.49996,27,17.49996,1,2,7,3,3,25,3.900289,1
1,1,2,2,15.50755,9.107565,0.5084704,0.1085298,15,3,3,16.99996,27,16.99996,1,2,7,3,3,25,4.00035,1
1,1,2,2,15.00754,9.607568,0.5084704,0.1085298,15,3,3,16.49996,27.3,16.99996,1,2,7,3,3,25,4.102302,1
