NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.1075553,0.3085001,8.307555,15,3,3,27,27,27,1,2,27,17,19,27,0.1025804,2
0,1,2,1,0,0.007555365,0.3085001,8.307555,15,3,3,27,27,27,1,2,27,17,19,27,0.2026411,2
0,1,2,1,0,0.007555365,0.3085001,8.307555,15,3,3,27,27,27,1,2,27,17,19,27,0.300989,2
0,1,2,1,0,0.007555365,0.3085001,8.307555,15,3,3,27,27,27,1,2,27,17,19,27,0.4001793,2
0,1,2,1,0,0.007555365,0.3085001,8.307555,15,3,3,27,27,27,1,2,27,17,19,27,0.5029776,0
0,1,2,1,0,0.1075553,0.3085001,8.307555,15,3,3,27,27,27,1,2,27,17,19,27,0.6017739,1
0,1,2,1,0,0.6075547,0.3085001,8.307555,15,3,3,27,27,27,1,2,27,17,19,27,0.7009383,1
0,1,2,2,0,1.107554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,17,19,27,0.8018999,1
0,1,2,2,0,1.607554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,17,19,27,0.9023744,1
0,1,2,2,0,2.107553,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,17,19,27,1.002523,1
0,1,2,2,0,2.607553,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,17,19,27,1.100712,1
0,1,2,2,0,3.107553,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,17,19,27,1.200212,1
0,1,2,2,0,3.607552,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,17,19,27,1.303514,1
0,1,2,2,0,4.107552,8.3085,0.3085001,15,3,3,27,27,27,1,2,27,17,19,27,1.403636,1
0,1,2,2,0,4.607551,8.3085,0.3085001,15,3,3,27,27,27,1,2,27,17,19,27,1.501877,1
1,1,2,1,19.50756,5.10755,0.3085001,0.3075551,15,3,3,27,27,27,1,2,27,17,19,27,1.601972,1
1,1,2,1,19.00756,5.607551,0.3085001,0.3075551,15,3,3,27,27,27,1,2,27,17,19,27,1.704967,1
1,1,2,1,18.50756,6.107553,0.3085001,0.3075551,15,3,3,27,27,27,1,2,27,17,19,27,1.803061,1
1,1,2,1,18.00756,6.607555,0.3085001,0.3075551,15,3,3,27,27,27,1,2,27,17,19,27,1.905181,1
1,1,2,1,17.50755,7.107557,0.3085001,0.3075551,15,3,3,27,27,27,1,2,27,17,19,27,2.001981,1
1,1,2,1,17.00755,7.607559,0.3085001,0.3075551,15,3,3,26.5,27.3,27,1,2,27,17,19,27,2.101985,1
1,1,2,2,16.50755,8.107561,0.3085001,0.3085001,15,3,3,26,27.3,27,1,2,27,17,19,27,2.200616,1
